sep=;
condition;trial;threshold;attempt;intensity;timestamp
Keyboard;1;Sensation;1;0.2;0
Keyboard;1;Sensation;1;0.3;0.7414551
Keyboard;1;Sensation;1;0.4;0.9968567
Keyboard;1;Sensation;1;0.5;1.230072
Keyboard;1;Sensation;1;0.6;2.220123
Keyboard;1;Sensation;1;0.7;2.463348
Keyboard;1;Sensation;1;0.8;2.707733
Keyboard;1;Sensation;1;0.9;5.726837
Keyboard;1;Sensation;1;1;6.015198
Keyboard;1;Sensation;1;1.1;6.560852
Keyboard;1;Sensation;1;1.2;6.805206
Keyboard;1;Sensation;1;1.3;51.30853
Keyboard;1;Sensation;1;1.4;52.164
Keyboard;1;Sensation;1;1.5;52.70755
Keyboard;1;Sensation;1;1.6;53.02032
Keyboard;1;Sensation;1;1.7;53.28574
Keyboard;1;Sensation;1;1.8;53.55206
Keyboard;1;Sensation;1;1.9;53.84082
Keyboard;1;Sensation;1;2;55.54034
Keyboard;1;Sensation;1;2.1;55.80673
Keyboard;1;Sensation;1;2.2;56.05151
Keyboard;1;Sensation;1;2.3;56.30594
Keyboard;1;Sensation;1;2.4;56.71817
Keyboard;1;Sensation;1;2.5;60.60345
Keyboard;1;Sensation;1;2.4;64.66742
Keyboard;1;Sensation;1;2.3;64.93469
Keyboard;1;Sensation;1;2.2;65.67987
Keyboard;1;Sensation;1;2.3;67.6347
Keyboard;1;Sensation;1;2.4;68.24591
Keyboard;1;Discomfort;1;2.5;104.8521
Keyboard;1;Discomfort;1;2.6;105.7624
Keyboard;1;Discomfort;1;2.7;106.1386
Keyboard;1;Discomfort;1;2.8;106.4055
Keyboard;1;Discomfort;1;2.9;107.1733
Keyboard;1;Discomfort;1;3;107.5506
Keyboard;1;Discomfort;1;3.1;107.9418
Keyboard;1;Discomfort;1;3.2;108.2712
Keyboard;1;Discomfort;1;3.3;108.6155
Keyboard;1;Discomfort;1;3.4;109.084
Keyboard;1;Discomfort;1;3.5;109.3729
Keyboard;1;Discomfort;1;3.6;110.4503
Keyboard;1;Discomfort;1;3.7;110.8158
Keyboard;1;Discomfort;1;3.8;111.0914
Keyboard;1;Discomfort;1;3.9;111.3834
Keyboard;1;Discomfort;1;4;111.693
Keyboard;1;Discomfort;1;4.1;112.0475
Keyboard;1;Discomfort;1;4.2;112.359
Keyboard;1;Discomfort;1;4.3;113.4016
Keyboard;1;Discomfort;1;4.4;113.6793
Keyboard;1;Discomfort;1;4.5;113.9617
Keyboard;1;Discomfort;1;4.6;114.2479
Keyboard;1;Discomfort;1;4.7;114.5149
Keyboard;1;Discomfort;1;4.8;114.8043
Keyboard;1;Discomfort;1;4.9;116.4565
Keyboard;1;Discomfort;1;5;116.7801
Keyboard;1;Discomfort;1;5.1;117.0471
Keyboard;1;Discomfort;1;5.2;118.735
Keyboard;1;Discomfort;1;5.3;119.0235
Keyboard;1;Discomfort;1;5.4;119.2905
Keyboard;1;Discomfort;1;5.5;119.5104
Keyboard;1;Discomfort;1;5.6;120.6555
Keyboard;1;Discomfort;1;5.7;120.9221
Keyboard;1;Discomfort;1;5.8;122.9325
Keyboard;1;Discomfort;1;5.9;123.224
Keyboard;1;Discomfort;1;6;125.5654
Keyboard;1;Discomfort;1;6.1;125.854
Keyboard;1;Discomfort;1;6;130.1832
Keyboard;1;Discomfort;1;5.9;130.3841
Keyboard;1;Discomfort;1;6;132.1287
Slider;2;Sensation;1;0.2;0
Slider;2;Sensation;1;0.3;0.155365
Slider;2;Sensation;1;0.4;0.5210266
Slider;2;Sensation;1;0.5;0.7772522
Slider;2;Sensation;1;0.6;1.023407
Slider;2;Sensation;1;0.7;1.310028
Slider;2;Sensation;1;0.8;1.598328
Slider;2;Sensation;1;0.9;2.065704
Slider;2;Sensation;1;1;2.486969
Slider;2;Sensation;1;1.1;3.076965
Slider;2;Sensation;1;1.2;3.5755
Slider;2;Sensation;1;1.3;4.042206
Slider;2;Sensation;1;1.4;4.396606
Slider;2;Sensation;1;1.5;4.752899
Slider;2;Sensation;1;1.6;5.197113
Slider;2;Sensation;1;1.7;5.619629
Slider;2;Sensation;1;1.8;6.086151
Slider;2;Sensation;1;1.9;6.529846
Slider;2;Sensation;1;2;7.286072
Slider;2;Sensation;1;2.1;8.461914
Slider;2;Sensation;1;2.2;9.96228
Slider;2;Sensation;1;2.1;11.15094
Slider;2;Sensation;1;2;11.45029
Slider;2;Sensation;1;2.1;11.53891
Slider;2;Sensation;1;2;11.55032
Slider;2;Sensation;1;2.1;11.56152
Slider;2;Sensation;1;2;12.00607
Slider;2;Sensation;1;2.1;12.01709
Slider;2;Sensation;1;2;12.039
Slider;2;Sensation;1;2.1;12.10529
Slider;2;Sensation;1;2;12.11633
Slider;2;Sensation;1;2.1;12.12778
Slider;2;Sensation;1;2;12.13864
Slider;2;Sensation;1;2.1;12.15015
Slider;2;Sensation;1;2;12.16132
Slider;2;Sensation;1;2.1;12.17221
Slider;2;Sensation;1;2;12.18335
Slider;2;Sensation;1;2.1;12.19418
Slider;2;Sensation;1;2;12.48392
Slider;2;Sensation;1;2.1;12.49518
Slider;2;Sensation;1;2;12.8941
Slider;2;Sensation;1;2.1;13.27179
Slider;2;Sensation;1;2;13.67215
Slider;2;Sensation;1;2.1;15.27084
Slider;2;Sensation;1;2.2;15.4924
Slider;2;Sensation;1;2.1;16.23672
Slider;2;Sensation;1;2.2;17.39258
Slider;2;Sensation;1;2.3;17.62463
Slider;2;Sensation;1;2.4;17.9921
Slider;2;Sensation;1;2.3;19.19089
Slider;2;Sensation;1;2.4;19.53561
Slider;2;Sensation;1;2.3;19.54697
Slider;2;Sensation;1;2.4;19.5687
Slider;2;Sensation;1;2.3;19.58029
Slider;2;Sensation;1;2.4;20.30301
Slider;2;Sensation;1;2.5;22.33408
Slider;2;Sensation;1;2.4;23.06784
Slider;2;Sensation;1;2.3;23.34598
Slider;2;Sensation;1;2.4;23.74423
Slider;2;Sensation;1;2.5;26.11032
Slider;2;Sensation;1;2.4;26.24435
Slider;2;Sensation;1;2.3;27.96463
Slider;2;Sensation;1;2.4;29.48611
Slider;2;Sensation;1;2.5;30.04318
Slider;2;Discomfort;1;2.4;51.28848
Slider;2;Discomfort;1;2.5;51.39944
Slider;2;Discomfort;1;2.6;51.53305
Slider;2;Discomfort;1;2.7;51.72159
Slider;2;Discomfort;1;2.8;51.86581
Slider;2;Discomfort;1;2.9;52.01022
Slider;2;Discomfort;1;3;52.13254
Slider;2;Discomfort;1;3.1;52.25522
Slider;2;Discomfort;1;3.2;52.42105
Slider;2;Discomfort;1;3.3;52.76523
Slider;2;Discomfort;1;3.4;53.05447
Slider;2;Discomfort;1;3.5;53.14359
Slider;2;Discomfort;1;3.6;53.34366
Slider;2;Discomfort;1;3.7;53.52103
Slider;2;Discomfort;1;3.8;53.65475
Slider;2;Discomfort;1;3.9;53.78769
Slider;2;Discomfort;1;4;53.92142
Slider;2;Discomfort;1;4.1;54.11063
Slider;2;Discomfort;1;4.2;55.08707
Slider;2;Discomfort;1;4.3;55.31009
Slider;2;Discomfort;1;4.4;55.49802
Slider;2;Discomfort;1;4.5;55.66434
Slider;2;Discomfort;1;4.6;55.84244
Slider;2;Discomfort;1;4.7;56.14255
Slider;2;Discomfort;1;4.6;57.41904
Slider;2;Discomfort;1;4.5;57.84116
Slider;2;Discomfort;1;4.6;58.11887
Slider;2;Discomfort;1;4.7;58.92953
Slider;2;Discomfort;1;4.6;58.94089
Slider;2;Discomfort;1;4.7;58.95151
Slider;2;Discomfort;1;4.6;58.9628
Slider;2;Discomfort;1;4.7;58.97397
Slider;2;Discomfort;1;4.6;58.98502
Slider;2;Discomfort;1;4.7;58.99643
Slider;2;Discomfort;1;4.6;59.01834
Slider;2;Discomfort;1;4.7;59.02957
Slider;2;Discomfort;1;4.6;59.0405
Slider;2;Discomfort;1;4.7;59.0629
Slider;2;Discomfort;1;4.6;59.0737
Slider;2;Discomfort;1;4.7;59.24069
Slider;2;Discomfort;1;4.6;59.25223
Slider;2;Discomfort;1;4.7;59.30777
Slider;2;Discomfort;1;4.6;59.31894
Slider;2;Discomfort;1;4.7;60.4404
Slider;2;Discomfort;1;4.8;60.76266
Slider;2;Discomfort;1;4.9;61.0289
Slider;2;Discomfort;1;5;64.18314
Slider;2;Discomfort;1;5.1;66.09335
Slider;2;Discomfort;1;5;66.53824
Slider;2;Discomfort;1;5.1;69.76981
Slider;2;Discomfort;1;5.2;70.37961
Slider;2;Discomfort;1;5.1;70.39108
Slider;2;Discomfort;1;5.2;70.40207
Slider;2;Discomfort;1;5.1;70.60233
Slider;2;Discomfort;1;5.2;70.61404
Slider;2;Discomfort;1;5.1;70.6254
Slider;2;Discomfort;1;5.2;70.63596
Slider;2;Discomfort;1;5.1;70.64737
Slider;2;Discomfort;1;5.2;70.65836
Slider;2;Discomfort;1;5.1;70.66971
Slider;2;Discomfort;1;5.2;70.68008
Slider;2;Discomfort;1;5.1;70.96854
Slider;2;Discomfort;1;5.2;71.63596
Slider;2;Discomfort;1;5.3;72.03629
Slider;2;Discomfort;1;5.4;72.89078
Keyboard;3;Sensation;1;0.2;0
Keyboard;3;Sensation;1;0.3;8.318787
Keyboard;3;Sensation;1;0.4;8.664978
Keyboard;3;Sensation;1;0.5;9.652222
Keyboard;3;Sensation;1;0.6;10.03973
Keyboard;3;Sensation;1;0.7;11.59491
Keyboard;3;Sensation;1;0.8;12.11896
Keyboard;3;Sensation;1;0.9;12.40607
Keyboard;3;Sensation;1;1;13.25067
Keyboard;3;Sensation;1;1.1;13.50513
Keyboard;3;Sensation;1;1.2;13.76147
Keyboard;3;Sensation;1;1.3;15.38458
Keyboard;3;Sensation;1;1.4;15.70428
Keyboard;3;Sensation;1;1.5;16.41559
Keyboard;3;Sensation;1;1.6;17.30292
Keyboard;3;Sensation;1;1.7;17.54767
Keyboard;3;Sensation;1;1.8;21.47961
Keyboard;3;Sensation;1;1.9;21.74707
Keyboard;3;Sensation;1;2;21.95679
Keyboard;3;Sensation;1;2.1;22.13629
Keyboard;3;Sensation;1;2.2;22.64691
Keyboard;3;Sensation;1;2.3;22.84558
Keyboard;3;Sensation;1;2.2;24.33588
Keyboard;3;Sensation;1;2.1;24.56635
Keyboard;3;Sensation;1;2;24.80035
Keyboard;3;Sensation;1;1.9;25.01093
Keyboard;3;Sensation;1;1.8;25.23309
Keyboard;3;Sensation;1;1.7;25.45593
Keyboard;3;Sensation;1;1.6;25.66644
Keyboard;3;Sensation;1;1.5;25.85565
Keyboard;3;Sensation;1;1.4;26.06561
Keyboard;3;Sensation;1;1.3;26.28973
Keyboard;3;Sensation;1;1.2;26.51062
Keyboard;3;Sensation;1;1.1;26.71198
Keyboard;3;Sensation;1;1;26.93304
Keyboard;3;Sensation;1;0.9;27.13342
Keyboard;3;Sensation;1;0.8;27.36719
Keyboard;3;Sensation;1;0.7;27.55548
Keyboard;3;Sensation;1;0.8;28.03137
Keyboard;3;Sensation;1;0.9;28.27747
Keyboard;3;Sensation;1;1;28.52118
Keyboard;3;Sensation;1;1.1;28.75458
Keyboard;3;Sensation;1;1.2;29.00995
Keyboard;3;Sensation;1;1.3;29.28729
Keyboard;3;Sensation;1;1.4;29.59851
Keyboard;3;Sensation;1;1.5;29.90991
Keyboard;3;Sensation;1;1.6;30.23126
Keyboard;3;Sensation;1;1.7;32.34174
Keyboard;3;Sensation;1;1.8;32.59784
Keyboard;3;Sensation;1;1.9;32.86279
Keyboard;3;Sensation;1;2;33.10852
Keyboard;3;Sensation;1;2.1;33.40796
Keyboard;3;Sensation;1;2.2;36.81769
Keyboard;3;Sensation;1;2.3;37.07355
Keyboard;3;Sensation;1;2.4;37.32922
Keyboard;3;Sensation;1;2.5;37.61975
Keyboard;3;Sensation;1;2.6;38.04053
Keyboard;3;Sensation;1;2.7;38.4165
Keyboard;3;Sensation;1;2.8;38.63965
Keyboard;3;Sensation;1;2.9;38.83862
Keyboard;3;Sensation;1;3;39.02802
Keyboard;3;Sensation;1;3.1;39.21588
Keyboard;3;Sensation;1;3.2;39.39362
Keyboard;3;Sensation;1;3.3;39.58258
Keyboard;3;Sensation;1;3.4;39.77228
Keyboard;3;Sensation;1;3.5;39.97101
Keyboard;3;Sensation;1;3.4;42.42603
Keyboard;3;Sensation;1;3.3;42.67023
Keyboard;3;Sensation;1;3.2;55.68842
Keyboard;3;Sensation;1;3.1;55.91974
Keyboard;3;Sensation;1;3.2;58.28632
Keyboard;3;Sensation;1;3.3;58.59857
Keyboard;3;Sensation;1;3.4;58.86212
Keyboard;3;Sensation;1;3.5;59.40784
Keyboard;3;Sensation;1;3.6;59.67438
Keyboard;3;Sensation;1;3.7;60.15125
Keyboard;3;Sensation;1;3.8;60.96289
Keyboard;3;Sensation;1;3.9;61.52936
Keyboard;3;Sensation;1;4;61.76245
Keyboard;3;Sensation;1;4.1;61.9635
Keyboard;3;Sensation;1;4;62.5506
Keyboard;3;Sensation;1;3.9;63.68414
Keyboard;3;Sensation;1;3.8;63.88428
Keyboard;3;Sensation;1;3.7;64.98248
Keyboard;3;Sensation;1;3.6;65.18396
Keyboard;3;Sensation;1;3.5;65.39471
Keyboard;3;Sensation;1;3.4;65.61688
Keyboard;3;Sensation;1;3.3;65.81659
Keyboard;3;Sensation;1;3.2;65.99408
Keyboard;3;Sensation;1;3.1;66.20428
Keyboard;3;Sensation;1;3;66.40454
Keyboard;3;Sensation;1;2.9;66.59271
Keyboard;3;Sensation;1;2.8;67.47095
Keyboard;3;Sensation;1;2.9;68.9588
Keyboard;3;Sensation;1;3;69.96136
Keyboard;3;Sensation;1;3.1;71.64709
Keyboard;3;Sensation;1;3.2;71.87933
Keyboard;3;Sensation;1;3.3;72.73627
Keyboard;3;Sensation;1;3.4;72.99017
Keyboard;3;Sensation;1;3.5;74.06738
Keyboard;3;Sensation;1;3.6;74.31171
Keyboard;3;Sensation;1;3.7;80.95386
